"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","COMM-142","Foundations 1:  Developing College Communications Skills",NA
"2","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","ENGL-125","Professional Communication within a Health Care Context 1 (ESL)",NA
"3","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","FNED-193","Introduction to Psychology: Part 1",NA
"4","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","HCFD-102","Academic Success Strategies 1",NA
"5","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","HCFD-104","Terminology for Health Care Professionals 1",NA
"6","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","ANAT-100","Anatomy and Physiology for Pre-Health",NA
"7","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","COMM-162","Foundations 2: Building College Communications Skills",NA
"8","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","ENGL-135","Professional Communication within a Health Care Context 2 (ESL)",NA
"9","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","FNED-194","Introduction to Psychology: Part 2",NA
"10","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","HCFD-122","Academic Success Strategies 2",NA
"11","Centennial College of Applied Arts and Technology","Health Studies and Communications Skills","https://www.centennialcollege.ca/programs-courses/full-time/health-foundations/","HCFD-124","Terminology for Health Care Professionals 2",NA
