"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-111","Acts, Regulations and Procedures",NA
"3","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-112","Fundamentals of Cooling Cycles",NA
"4","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-113","Mechanical Cooling Cycle",NA
"5","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-124","Pipe Joining and Installation for Cooling",NA
"6","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","MATH-101","Mathematics 1",NA
"7","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","COMM-170/COMM-171","College Communications 2",NA
"8","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","GNED","General Education Elective",NA
"9","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"10","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-121","Electrical Fundamentals",NA
"11","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-122","Mechanical Drawing and Prints",NA
"12","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-123","Heating Fundamentals",NA
"13","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"14","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-211","Psychrometrics - Control",NA
"15","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-212","System Design and Installation",NA
"16","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-213","Electrical & Control Systems",NA
"17","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","MATH-216","Mathematics for HRAC",NA
"18","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","GNED","General Education Elective",NA
"19","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-221","Capstone Project",NA
"20","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-222","Heating Hydronic Fundamentals",NA
"21","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-223","Air Conditioning & Distribution Systems",NA
"22","Centennial College of Applied Arts and Technology","Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/heating-refrigeration-and-ac-technician/","HRAC-224","Advanced Electrical and Control Systems",NA
