"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","BUS-100","Introduction to Business",NA
"2","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","BUS-130","Principles of Marketing I",NA
"3","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","ENG-115","The Power of Communications",NA
"4","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","PRM-100","Introduction to Public Relations",NA
"5","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","PRM-110","Introduction to Media",NA
"6","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","BUS-150","Organizational Behaviour",NA
"7","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","BUS-160","Business Law",NA
"8","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","MTH-116","Statistics",NA
"9","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","PRM-150","Introduction to Social Media",NA
"10","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","PRM-152","Writing for Public Relations 1",NA
"11","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","BUS-200","Corporate Social Responsibility",NA
"12","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","BUS-210","Introduction to Accounting",NA
"13","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","PRM-200","Media Relations",NA
"14","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","PRM-210","Strategic Communications Planning",NA
"15","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","REA-215","Fundamentals of Research",NA
"16","Centennial College of Applied Arts and Technology","Honours Bachelor of Public Relations Management","https://www.centennialcollege.ca/programs-courses/full-time/honours-bachelor-public-relations-management/","BUS-250","Financial Management",NA
