"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","BFHT-105","Introduction to Math I",NA
"2","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","BFHT-107","Food Safety, Smart Serve and First Aid",NA
"3","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","BFHT-109","Life Skills and Job Readiness I",NA
"4","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","COMM-143/COMM-142","Foundations 1:  Developing College Communication Skills",NA
"5","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","FNED-191","Geography and Tourism Western Hemisphere",NA
"6","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","BFHT-106","Introduction to Math II",NA
"7","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","BFHT-110","Life Skills and Job Readiness II",NA
"8","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","BFHT-112","Food Theory Fundamentals",NA
"9","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","COMM-163/COMM-162","Foundations 2:  Building College Communications Skills",NA
"10","Centennial College of Applied Arts and Technology","Hospitality Foundations","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-foundations/","FNED-192","Geography and Tourism Eastern Hemisphere",NA
