"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-101","Introduction to Computers (Online)",NA
"4","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"5","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-103","Professional Service Experience",NA
"6","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-105","Food Theory",NA
"7","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-111","Introduction to Hospitality Operations",NA
"8","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-122","Beverage, Bar and Dining Room",NA
"9","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","COMM-170/COMM-171","College Communications 2",NA
"10","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-115","Math for Hospitality",NA
"11","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-201","Room Operations I",NA
"12","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-204","Introduction to Hospitality Sales and Marketing",NA
"13","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-209","Human Resources and Career Skills",NA
"14","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-215","Introduction to Hospitality Accounting",NA
"15","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-220","Principles of Hospitality Management",NA
"16","Centennial College of Applied Arts and Technology","Hospitality Skills","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills/","HOSP-222","Restaurant Operations",NA
