"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-101","Introduction to Computers (Online)",NA
"4","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"5","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-103","Professional Service Experience",NA
"6","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-105","Food Theory",NA
"7","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-111","Introduction to Hospitality Operations",NA
"8","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-122","Beverage, Bar and Dining Room",NA
"9","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","COMM-170/171","College Communication 2",NA
"10","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-115","Math for Hospitality",NA
"11","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-201","Room Operations I",NA
"12","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-204","Introduction to Hospitality Sales and Marketing",NA
"13","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-209","Human Resources and Career Skills",NA
"14","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-215","Introduction to Hospitality Accounting",NA
"15","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-220","Principles of Hospitality Management",NA
"16","Centennial College of Applied Arts and Technology","Hospitality Skills (Online)","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-skills-online/","HOSP-222","Restaurant Operations",NA
