"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-101","Introduction to Computers (Online)",NA
"4","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"5","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-105","Food Theory",NA
"6","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-106","Presenting and Communicating Effectively",NA
"7","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-122","Beverage, Bar and Dining Room",NA
"8","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-111","Introduction to Tourism and Hospitality",NA
"9","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","COMM-170/171","College Communication 2",NA
"10","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-204","Introduction to Hospitality Sales and Marketing",NA
"11","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-215","Introduction to Hospitality Accounting",NA
"12","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-202","Meetings and Events Management",NA
"13","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-203","Tourism Geography and Destinations",NA
"14","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-210","Transportation: Air, Flights and Fares",NA
"15","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-211","Travel Costing, Demand and Distribution",NA
"16","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-220","Transportation: Ground and Cruises",NA
"17","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"18","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-304","Hospitality Sales and Revenue Management",NA
"19","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-303","Canadian Tourism in the Global Perspective",NA
"20","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-306","Service Excellence and Professionalism",NA
"21","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-307","Ethics and Regulation in Tourism",NA
"22","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-308","Tourism Applications",NA
"23","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-309","Speciality Tourism, Research and Trends",NA
"24","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","TOUR-311","Issues, Development and Special Studies in Tourism and Hospitality I",NA
"25","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","EVNT-302","Event Marketing and Social Media",NA
"26","Centennial College of Applied Arts and Technology","Hospitality and Tourism Administration","https://www.centennialcollege.ca/programs-courses/full-time/hospitality-tourism-administration/","HOSP-220","Principles of Hospitality Management",NA
