"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-701","Hospitality Financial Management",NA
"2","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-702","Strategic Human Resources Management",NA
"3","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-703","Wines and Spirits",NA
"4","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-704","International Hotel, Resort and Restaurant Management",NA
"5","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-706","Managing Service Quality and Business Excellence",NA
"6","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-751","Hospitality Safety, Security and Risk Management",NA
"7","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-752","Hospitality Marketing Strategies",NA
"8","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-705","Foundations of Leadership",NA
"9","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-753","Hospitality Revenue and Distribution Management",NA
"10","Centennial College of Applied Arts and Technology","Hotel, Resort and Restaurant Management","https://www.centennialcollege.ca/programs-courses/full-time/hotel-resort-and-restaurant-management/","HOTL-777","Work Integrated Learning: Hotel, Resort and Restaurant",NA
