"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-711","User Experience Design",NA
"2","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-712","Content Planning",NA
"3","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-713","Project Management 1",NA
"4","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-714","Interactive Strategy",NA
"5","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-715","Development Tools 1",NA
"6","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-716","Video for Interactive Media",NA
"7","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-717","Emerging Trends",NA
"8","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-718","Interactive Media Industry",NA
"9","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-719","Introduction to Graphics Applications",NA
"10","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMMT-799","Storyworks",NA
"11","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-721","Senior Project",NA
"12","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-722","Collaborative Project",NA
"13","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-723","Project Management 2",NA
"14","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-724","Interactive Narrative",NA
"15","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-725","Development Tools 2",NA
"16","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-726","Analytics",NA
"17","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-727","Business Strategy",NA
"18","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-728","Studio Mentorship",NA
"19","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-731","Entrepreneurship",NA
"20","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-732","Pitches and Presentations",NA
"21","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-733","Career Networking",NA
"22","Centennial College of Applied Arts and Technology","Interactive Media Management","https://www.centennialcollege.ca/programs-courses/full-time/interactive-media-management/","IMM-750","Field Placement",NA
