"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","BUSN-732","Business Communications 1",NA
"3","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-702","International Banking  and Finance",NA
"4","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-704","Global Logistics",NA
"5","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-705","International Business Law",NA
"6","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-711","Innovation, Entrepreneurship, and Economic Development",NA
"7","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-725","Research Methods for Trade and Development",NA
"8","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","BUSN-733","Business Culture and Craft",NA
"9","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-703","Geopolitics of Trade and Development",NA
"10","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-706","Global Business Strategy",NA
"11","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-710","Corporate Social Responsibility and International Development",NA
"12","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-728","Developing an International Business Plan",NA
"13","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","INTL-729","Principles of Freight Forwarding",NA
"14","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","MKTG-732","International Marketing",NA
"15","Centennial College of Applied Arts and Technology","International Business Management (Online)","https://www.centennialcollege.ca/programs-courses/full-time/international-business-management-online/","BUSN-750","Business - Experiential Learning*",NA
