"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-702","Poverty, Inequality and Human Development",NA
"2","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-704","Human Rights and Development",NA
"3","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-705","Cross-Cultural Communications",NA
"4","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-706","Project Design and Proposal Writing",NA
"5","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-718","Intro to Quantitative Research Methods",NA
"6","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTL-703","Geopolitics of Trade and Development",NA
"7","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","BUSN-702","Coop/Employment Preparedness",NA
"8","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-710","Education and Development",NA
"9","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-711","Global Health and Development",NA
"10","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-712","Energy, Environment, and Sustainable Development",NA
"11","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-714","International Development Law",NA
"12","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-717","Financial Management for Development",NA
"13","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-721","Research Methods and Fieldwork Techniques in Development",NA
"14","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-713","Rural Development and Global Food Systems",NA
"15","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-722","Microfinance for Development",NA
"16","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-723","Gender, Development, and Public Policy",NA
"17","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-724","Humanitarian Assistance and Service Delivery",NA
"18","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTD-726","Project Monitoring and Evaluation",NA
"19","Centennial College of Applied Arts and Technology","International Development (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/international-development/","INTL-710","Corporate Social Responsibility and International Development",NA
