"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","GNED","General Education Elective",NA
"4","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","KEYS-101","Keyboarding 1",NA
"5","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-105","Computers for Law Clerks",NA
"6","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-111","Introduction to Canadian Law",NA
"7","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-221","Family Law",NA
"8","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","COMM-170/171","College Communication 2",NA
"9","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","KEYS-102","Keyboarding 2",NA
"10","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-112","Real Estate 1",NA
"11","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-114","Civil Litigation",NA
"12","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-115","Corporate Law",NA
"13","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-310","Automated Law Office 1",NA
"14","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","OAGN-122","Career Readiness",NA
"15","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"16","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","KEYS-103","Keyboarding 3",NA
"17","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-117","Legal Research and Writing",NA
"18","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-223","Real Estate 2",NA
"19","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-228","Government Boards and Agencies",NA
"20","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-315","Automated Law Office 2",NA
"21","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-224","Wills and Estates",NA
"22","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-225","Debtor Creditor",NA
"23","Centennial College of Applied Arts and Technology","Law Clerk","https://www.centennialcollege.ca/programs-courses/full-time/law-clerk/","LAWS-226","Work Placement - Law Clerk",NA
