"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-105","Introduction to Canadian Politics",NA
"3","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-123","Introduction to Philosophy",NA
"4","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-129","Introduction to Psychology",NA
"5","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-130","Introduction to Sociology",NA
"6","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-160","Concepts in Humanities",NA
"7","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","COMM-170/COMM-171","College Communications 2",NA
"8","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-200","Twentieth Century History",NA
"9","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-220","Critical Thinking across Disciplines",NA
"10","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-240","Introductory Research Methods",NA
"11","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GART-244","Human Development",NA
"12","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GNED","General Education Elective",NA
"13","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","ENGL-237","Genocide Literature",NA
"14","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"15","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","LART-312","Ethical Reasoning",NA
"16","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","LART-315","Gender Studies",NA
"17","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","LART-334","Social & Moral Issues",NA
"18","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","LIB-001","Liberal Arts Elective",NA
"19","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","ENGL-235","Canadian Multicultural Literature",NA
"20","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","GNED","General Education Elective",NA
"21","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","LART-401","Abnormal Psychology",NA
"22","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","LART-411","Environmental Issues",NA
"23","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","LART-469","Popular Culture",NA
"24","Centennial College of Applied Arts and Technology","Liberal Arts to University of Toronto Scarborough","https://www.centennialcollege.ca/programs-courses/full-time/liberal-arts-utsc/","LIB-002","Liberal Arts Elective",NA
