"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","BUSN-733","Business Culture and Craft",NA
"3","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MGMT-703","Ethics and Stakeholder Management",NA
"4","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MKTG-716","Marketing",NA
"5","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MKTG-717","Marketing Brand Management",NA
"6","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MKTG-719","Marketing Project Management",NA
"7","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MGMT-704","Management and Leadership",NA
"8","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MKTG-728","Integrated Marketing Communications",NA
"9","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MKTG-731","Customer Experience Design",NA
"10","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MKTG-732","International Marketing",NA
"11","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MKTG-743","Fundamentals of Marketing Research",NA
"12","Centennial College of Applied Arts and Technology","Marketing Management","https://www.centennialcollege.ca/programs-courses/full-time/marketing-management/","MKTG-747","Digital Marketing Strategies",NA
