"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-716","Marketing",NA
"3","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-723","Solution Selling I",NA
"4","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-750","Account Management Essentials",NA
"5","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-755","Business Ethics & Negotiation Skills",NA
"6","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-756","Strategic CRM",NA
"7","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-731","Customer Experience Design",NA
"8","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-741","Case Analysis and Marketing Metrics",NA
"9","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-747","Digital Marketing Strategies",NA
"10","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-751","Solution Selling II",NA
"11","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-752","B2B Marketing",NA
"12","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/","MKTG-754","Account Management and Leadership",NA
"13","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
"14","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
"15","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
"16","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
"17","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
"18","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
"19","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
"20","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
"21","Centennial College of Applied Arts and Technology","Marketing - Corporate Account Management (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-corporate-account-management/",NA,NA,NA
