"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-710","Marketing in a Connected World",NA
"3","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-711","Customer Segmentation and Journey Mapping",NA
"4","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-712","Online Advertising and Programmatic Trading",NA
"5","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-713","Search Engine and Performance Marketing",NA
"6","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-715","Social Media Marketing",NA
"7","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","ENTP-700","Innovation and Change Management",NA
"8","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-714","CRM Strategies",NA
"9","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-720","Digital Transformation Strategy",NA
"10","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-725","Omni-channel Retailing",NA
"11","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-727","Content Creation and Curation",NA
"12","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-729","Web and Conversion Analytics",NA
"13","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/","MKTG-730","Capstone - Digital Engagement Strategy",NA
"14","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/",NA,NA,NA
"15","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/",NA,NA,NA
"16","Centennial College of Applied Arts and Technology","Marketing - Digital Engagement Strategy (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-digital-engagement-strategy/",NA,NA,NA
