"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-716","Marketing",NA
"3","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-719","Marketing Project Management",NA
"4","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-742","Marketing Analysis and Planning",NA
"5","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-744","Computer Applications for Marketing Analytics",NA
"6","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-748","Statistics for Marketing Research",NA
"7","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-758","Applied Qualitative Research",NA
"8","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-729","Web and Conversion Analytics",NA
"9","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-741","Case Analysis and Marketing Metrics",NA
"10","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-745","Database Mining and Visualizations",NA
"11","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-746","Big Data and Predictive Analytics",NA
"12","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-749","Research and Analytics - Capstone",NA
"13","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/","MKTG-759","Applied Quantitative Research",NA
"14","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
"15","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
"16","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
"17","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
"18","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
"19","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
"20","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
"21","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
"22","Centennial College of Applied Arts and Technology","Marketing – Research and Analytics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/marketing-research-analytics/",NA,NA,NA
