"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-111","Massage Theory and Practice 1",NA
"4","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-115","Legislation, Standards and Professionalism",NA
"5","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-116","Introductory Concepts of Anatomy and Physiology",NA
"6","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-118","Nutrition and Lifestyle Practices",NA
"7","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","COMM-180","College Communications 3",NA
"8","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-120","Introduction to Hydrotherapy",NA
"9","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-121","Massage Theory and Practice 2",NA
"10","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-122","Therapeutic Relationship 1",NA
"11","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-123","Clinical Anatomy 1",NA
"12","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-124","Physiology",NA
"13","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-210","Pathophysiology 1",NA
"14","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-211","Massage Theory and Practice 3",NA
"15","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-212","Clinic 1",NA
"16","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-213","Clinical Anatomy 2",NA
"17","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-215","Biomechanics & Orthopedic Assessment",NA
"18","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"19","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-200","Outreach 1",NA
"20","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-220","Pathophysiology 2",NA
"21","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-221","Massage Theory and Practice 4",NA
"22","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-222","Clinic 2",NA
"23","Centennial College of Applied Arts and Technology","Massage Therapy","https://www.centennialcollege.ca/programs-courses/full-time/massage-therapy/","THER-225","Fitness & Remedial Exercise",NA
