"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-711","Samsung Android Application Development",NA
"2","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-712","Web Technologies for Mobile Platforms",NA
"3","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-713","Enterprise Technologies for Mobile Platforms",NA
"4","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-714","iOS Development",NA
"5","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-715","Mobile Application UI/UX Design",NA
"6","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-721","Samsung Advanced Android Development",NA
"7","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-722","Mobile Web Development",NA
"8","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-724","Advanced iOS Development",NA
"9","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-725","Emerging Technologies",NA
"10","Centennial College of Applied Arts and Technology","Mobile Applications Development","https://www.centennialcollege.ca/programs-courses/full-time/mobile-applications-development/","MAPD-726","Mobile Application Development Project",NA
