"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","GS-150","Pathways to Success",NA
"3","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","MCAL-100","Measurements and Calculations 1",NA
"4","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-101","Workplace Trade Practices",NA
"5","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-102","Engine Systems 1",NA
"6","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-107","Electrical Fundamentals",NA
"7","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-109","Fluid Power Systems",NA
"8","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","COMM-170/171","College Communication 2",NA
"9","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","GNED","General Education Elective",NA
"10","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","MCAL-200","Measurements and Calculations 2",NA
"11","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-205","Drive Train Systems 1",NA
"12","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-206","Wheel End Assemblies & Brake Systems",NA
"13","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-208","Fuel Systems 1",NA
"14","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-214","Preventative Maintenance",NA
"15","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","FOPM-100","Fixed Operations Management 1",NA
"16","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"17","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-301","Trade Practices and Auxiliary Systems",NA
"18","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-302","Engine Systems 2",NA
"19","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-305","Drive Train Systems 2",NA
"20","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-307","Electrical Systems",NA
"21","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-310","Vehicle Management Electronics & Emissions Systems",NA
"22","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","ENGL-219","Communications for Professionals in the Automotive Industry",NA
"23","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","FOPM-200","Fixed Operations Management 2",NA
"24","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","GNED","General Education Elective",NA
"25","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-400","HVAC & ODP Certification",NA
"26","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-403","Operational Compliance",NA
"27","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-404","Vehicle Specifications",NA
"28","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-406","Steering Suspension & Brake Systems",NA
"29","Centennial College of Applied Arts and Technology","Motive Power - Truck and Coach Technician (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-motive-power-technician/","TCMP-408","Fuel Systems 2",NA
