"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-701","The Relevant Museum",NA
"2","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-702","Programming & Interpretation",NA
"3","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-703","Web and Social Media Marketing",NA
"4","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-704","Project Management Basics",NA
"5","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-705","Collection Management",NA
"6","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-706","Care of Collections",NA
"7","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-707","Professional Practice",NA
"8","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-712","Design Fundamentals and Exhibition Preparation",NA
"9","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-713","Writing for Exhibitions",NA
"10","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-714","Field Placement",NA
"11","Centennial College of Applied Arts and Technology","Museum and Cultural Management","https://www.centennialcollege.ca/programs-courses/full-time/museum-and-cultural-management/","MCMC-799","STORYWORKS",NA
