"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-100","Musicianship 1",NA
"3","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-112","Music Theory 1",NA
"4","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-113","Musical Creativity 1",NA
"5","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-120","Popular Music in Culture",NA
"6","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-180","Private Lessons 1",NA
"7","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-190","Ensemble 1",NA
"8","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-199","Creativity in Context",NA
"9","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","COMM-170/171","College Communication 2",NA
"10","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-101","Musicianship 2",NA
"11","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-114","Music Theory 2",NA
"12","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-115","Musical Creativity 2",NA
"13","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-121","History of Western Art Music",NA
"14","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-130","Introduction to Music Technology",NA
"15","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-181","Private Lessons 2",NA
"16","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-191","Ensemble 2",NA
"17","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"18","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-210","Composition 1",NA
"19","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-220","Worlds of Music",NA
"20","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-230","The Art of Performance",NA
"21","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-240","Digital Music Creation",NA
"22","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-250","Music Business Fundamentals",NA
"23","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-280","Private Lessons 3",NA
"24","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-290","Ensemble 3",NA
"25","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","GNED","General Education Elective",NA
"26","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-211","Composition 2",NA
"27","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-221","Indigenous Music in Culture",NA
"28","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-241","Introduction to Audio Engineering",NA
"29","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-251","Musical Entrepreneurship",NA
"30","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-281","Private Lessons 4",NA
"31","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-291","Ensemble 4",NA
"32","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","GNED","General Education Elective",NA
"33","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-340","Music Creation for Media 1",NA
"34","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-380","Private Lessons 5",NA
"35","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-390","Ensemble 5",NA
"36","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-500","Storyworks",NA
"37","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","Academic Option","Academic Option",NA
"38","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-360","Live Sound Engineering",NA
"39","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-362","Advanced Sound Mixing and Editing",NA
"40","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-363","Advanced Sound Production and Recording",NA
"41","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-370","Copyright, Royalties, Licensing and Publishing",NA
"42","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-371","Music Marketing and Social Media",NA
"43","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-372","Advanced Music Business",NA
"44","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-341","Music Creation for Media 2",NA
"45","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-351","Music in Community",NA
"46","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-381","Private Lessons 6",NA
"47","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-391","Ensemble 6",NA
"48","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-398","Music Career Development",NA
"49","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-400","Field Placement",NA
"50","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","Academic Option","Academic Option",NA
"51","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-361","Recording Studio Environments",NA
"52","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-364","Computer Systems and Music",NA
"53","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-365","Advanced Digital Music Creation",NA
"54","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-373","Artist Management and Promotion",NA
"55","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-374","Music Supervision and Consulting",NA
"56","Centennial College of Applied Arts and Technology","Music Industry Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/music-industry-arts-performance/","MIAP-375","Music Journalism",NA
