"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-100","Principles of Sanitation, Safety and Hygiene",NA
"4","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-101","Introduction to Computing",NA
"5","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-105","Kitchen Production",NA
"6","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-108","Introduction to Food Services",NA
"7","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-109","Nutrition 1",NA
"8","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-117","Mathematics for Food Service Management",NA
"9","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","COMM-170/COMM-171","College Communications 2",NA
"10","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"11","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-110","Nutrition 2",NA
"12","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-112","Food Properties Analysis",NA
"13","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-115","Purchasing for the Food Services Industry",NA
"14","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-201","Communications and Interprofessional Approaches in Health Care and Food Services",NA
"15","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-208","Food Service Accounting",NA
"16","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","GNED","General Education Elective",NA
"17","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-202","Organizational Behaviour in Food Services",NA
"18","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-206","Medical Nutrition Therapy",NA
"19","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-207","Facilities Planning and Design",NA
"20","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-210","Marketing and Merchandising for Food Services Operations",NA
"21","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-211","Supervision Practices",NA
"22","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-223","Food Services Systems Management",NA
"23","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-203","Human Resources Management in Food Services",NA
"24","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-213","Recipe Development and Costing",NA
"25","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-216","Health Care Menu Planning",NA
"26","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-217","Field Placement",NA
"27","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-219","Professional Practice Seminar",NA
"28","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-220","Nutrition Assessment and Counselling Techniques",NA
"29","Centennial College of Applied Arts and Technology","Nutrition and Food Service Management","https://www.centennialcollege.ca/programs-courses/full-time/nutrition-and-food-service-management/","NFSM-221","Financial Management",NA
