"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-100","Introduction to Occupational Therapy and Physiotherapy",NA
"4","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-102","Anatomy and Physiology",NA
"5","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-103","The Health Care System",NA
"6","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-104","Normal Function and Movement",NA
"7","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-105","Issues in Healthy Aging",NA
"8","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"9","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-201","Orientation to Rehabilitation Practice",NA
"10","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-202","Conditions Impacting Function 1",NA
"11","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-204","Introduction to Physiotherapy Interventions - Therapeutic Exercises",NA
"12","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-205","Human Lifespan Development",NA
"13","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-206","Occupational Therapy Therapeutic Skills – Part 1",NA
"14","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-207","Establishing Therapeutic Communication",NA
"15","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-301","Rehabilitation Practice 1",NA
"16","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-302","Conditions Impacting Function - 2",NA
"17","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-303","Physiotherapy Skills - Therapeutic Modalities",NA
"18","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-304","Occupational Therapy Therapeutic Skills – Part 2",NA
"19","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-308","Mental Health Concepts and Techniques",NA
"20","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","COMM-180","College Communications 3",NA
"21","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","GNED","General Education Elective",NA
"22","Centennial College of Applied Arts and Technology","Occupational Therapist Assistant & Physiotherapist Assistant","https://www.centennialcollege.ca/programs-courses/full-time/occupational-therapist-assistant-physiotherapist-assistant/","OTPT-401","Rehabilitation Practice 2",NA
