"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","KEYS-101","Keyboarding 1",NA
"4","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-113","Office Administration Technology 1",NA
"5","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-115","Introduction to Word Processing",NA
"6","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-118","Document Review & Proofreading",NA
"7","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-124","Financial Procedures",NA
"8","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","KEYS-102","Keyboarding 2",NA
"10","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-116","Word Processing Applications",NA
"11","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-119","Document Production",NA
"12","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-122","Career Readiness",NA
"13","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-123","Office Administration Technology 2",NA
"14","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-125","Office Procedures and Communications",NA
"15","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","ACCT-110","Accounting Fundamentals 1",NA
"16","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"17","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","KEYS-103","Keyboarding 3",NA
"18","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAEX-243","Social Media and Online Communications",NA
"19","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAEX-253","Executive Office Procedures 1",NA
"20","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-261","Integrated Software Applications",NA
"21","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","GNED","General Education Elective",NA
"22","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","KEYS-104","Keyboarding 4",NA
"23","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAEX-244","Computerized Bookkeeping",NA
"24","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAEX-255","Executive Office Procedures 2",NA
"25","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAEX-256","Project Management for Administrative Professionals",NA
"26","Centennial College of Applied Arts and Technology","Office Administration – Executive","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-executive/","OAGN-262","Field Placement",NA
