"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","KEYS-101","Keyboarding 1",NA
"4","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-113","Office Administration Technology 1",NA
"5","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-115","Introduction to Word Processing",NA
"6","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-118","Document Review & Proofreading",NA
"7","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-124","Financial Procedures",NA
"8","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","KEYS-102","Keyboarding 2",NA
"10","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-116","Word Processing Applications",NA
"11","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-119","Document Production",NA
"12","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-122","Career Readiness",NA
"13","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-123","Office Administration Technology 2",NA
"14","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-125","Office Procedures and Communications",NA
"15","Centennial College of Applied Arts and Technology","Office Administration – General","https://www.centennialcollege.ca/programs-courses/full-time/office-administration-general/","OAGN-127","Machine Transcription",NA
