"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-701","Introduction to the Canadian Legal System",NA
"2","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-702","Legal Computer Applications",NA
"3","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-703","Legal Research/Writing",NA
"4","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-704","Torts and Contracts",NA
"5","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-706","Administrative Law",NA
"6","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-722","Communication/Writing",NA
"7","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-725","Tribunal Practice and Procedure",NA
"8","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-726","Provincial  Offences/Motor Vehicle Offences",NA
"9","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-727","Small Claims Court",NA
"10","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-732","Criminal/Summary Conviction Procedures",NA
"11","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-733","Residential-Landlord and Tenant Law",NA
"12","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-734","Employment Law",NA
"13","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-735","Legal Accounting",NA
"14","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-705","Alternative Dispute Resolution (ADR)",NA
"15","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-721","Advocacy",NA
"16","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-723","Evidence and The Litigation Process",NA
"17","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-724","Ethics and Professional Responsibility",NA
"18","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-731","Field Placement",NA
"19","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-736","Practice Management/Operating A Small Business",NA
"20","Centennial College of Applied Arts and Technology","Paralegal","https://www.centennialcollege.ca/programs-courses/full-time/paralegal/","PRLG-737","Immigration Law",NA
