"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-100","Introduction to Canadian Law",NA
"3","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-102","Legal Computer Applications",NA
"4","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-103","Legal Research and Writing",NA
"5","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-104","Torts and Contracts",NA
"6","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-122","Communication and Drafting",NA
"7","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","COMM-170/171","College Communication 2",NA
"8","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","GNED","General Education Elective",NA
"9","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-106","Administrative Law",NA
"10","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-126","Provincial Offences",NA
"11","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-127","Small Claims",NA
"12","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-133","Residential Landlord and Tenant Law",NA
"13","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-134","Employment Law",NA
"14","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","GNED","General Education Elective",NA
"15","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-123","Evidence",NA
"16","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-125","Tribunal Practice and Procedure",NA
"17","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-132","Criminal Procedure",NA
"18","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-135","Legal Accounting",NA
"19","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-137","Canadian Immigration Practice and Procedure",NA
"20","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"21","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-105","Alternative Dispute Resolution",NA
"22","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-121","Advocacy",NA
"23","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-124","Ethics and Professional Responsiblity",NA
"24","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-136","Practice Management",NA
"25","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/","PRLG-200","Field Placement",NA
"26","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/",NA,NA,NA
"27","Centennial College of Applied Arts and Technology","Paralegal - Court and Tribunal Agent","https://www.centennialcollege.ca/programs-courses/full-time/paralegal-court-and-tribunal-agent/",NA,NA,NA
