"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","GNED-129","Principles of Psychology",NA
"3","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-122","Prehospital Care 1: Theory and Lab",NA
"4","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-126","Professional and Legal Issues, Research, Responsibilities and Leadership",NA
"5","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-127","Therapeutic Communication and Crisis Intervention",NA
"6","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-128","Anatomy",NA
"7","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"8","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-130","Alterations of Human Body Functions 1",NA
"9","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-132","Prehospital Care 2: Theory, Clinical and Field",NA
"10","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-136","Pharmacology for Allied Health",NA
"11","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","COMM-180","College Communications 3",NA
"12","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","GNED","General Education Elective",NA
"13","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-240","Alterations of Human Body Functions 2",NA
"14","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-242","Prehospital Care 3: Theory, Clinical and Field",NA
"15","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-243","Medical Directed Therapeutics and Paramedic Responsibilities",NA
"16","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-255","Prehospital Care 4: Theory and Field",NA
"17","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-256","PCP Integration and Critical Decision Making",NA
"18","Centennial College of Applied Arts and Technology","Paramedic","https://www.centennialcollege.ca/programs-courses/full-time/paramedic/","PARA-257","EMS Research Methods",NA
