"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","DANC-102","Jazz 1",NA
"3","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","MIAP-180","Private Lessons 1",NA
"4","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","PAFS-101","Introduction to Commercial Dance",NA
"5","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","PAFS-102","Introduction to Acting",NA
"6","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","PAFS-103","Introduction to Music",NA
"7","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","PAFS-104","Contemporary Performance Analysis",NA
"8","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","PAFS-199","Creativity in Context",NA
"9","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","THEA-120","Script Reading & Analysis I: Canadian Playwrights",NA
"10","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","COMM-170/171","College Communication 2",NA
"11","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","GNED","General Education Elective",NA
"12","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","PAFS-200","Professionalism in the Performing Arts",NA
"13","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","PAFS-201","Introduction to Arts Industry",NA
"14","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","PAFS-202","Interdisciplinary Ensemble",NA
"15","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","Academic Option","Academic Option",NA
"16","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","DANC-204","Commercial Dance 2",NA
"17","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","MIAP-181","Private Lessons 2",NA
"18","Centennial College of Applied Arts and Technology","Performing Arts Fundamentals","https://www.centennialcollege.ca/programs-courses/full-time/performing-arts-fundamentals/","THEA-240","Creative Roles in the Theatre",NA
