"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-100","Anatomy",NA
"3","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-101","Foundations of Personal Support",NA
"4","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-102","Personal Support Communication",NA
"5","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-103","Developmental Stages & Alterations in Health",NA
"6","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-104","Foundations of Mental Health",NA
"7","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-105","PSW Skills Laboratory 1",NA
"8","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","GNED","General Education Elective",NA
"9","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-122","Supporting Clients in Palliative Care",NA
"10","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-123","Personal and Professional Growth",NA
"11","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-125","PSW Clinical Practice",NA
"12","Centennial College of Applied Arts and Technology","Personal Support Worker","https://www.centennialcollege.ca/programs-courses/full-time/personal-support-worker/","PSHS-126","PSW Community Practice",NA
