"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-103","Anatomy & Physiology",NA
"3","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-113","Community Pharmacy Computers",NA
"4","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-115","Pharmaceutical Calculations",NA
"5","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-118","Community Practice Theory",NA
"6","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-130","Professional Practice and Drug Programs",NA
"7","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-131","Community Pharmacy Dispensing Practice 1",NA
"8","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","GNED","General Education Elective",NA
"9","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-123","Home Health Care and Non-Prescription Products",NA
"10","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-124","Compounding",NA
"11","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-126","Community Pharmacy Placement 1",NA
"12","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-129","Introduction to Pharmacology",NA
"13","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-132","Community Pharmacy Dispensing Practice II",NA
"14","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-220","Pharmaceutical Calculations II",NA
"15","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","COMM-170/171","College Communication 2",NA
"16","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","GNED","General Education Elective",NA
"17","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"18","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-210","Aseptic Technique Principles I",NA
"19","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-214","Institution Dispensing 1",NA
"20","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-215","Institution Communications and Operations",NA
"21","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-219","Advanced Pharmacology",NA
"22","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-221","Institution Dispensing II",NA
"23","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-222","Aseptic Technique Principles II",NA
"24","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-225","Comprehensive Review & Exam",NA
"25","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-226","Integrated Practice and Career Development",NA
"26","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-227","Pharmacy Management",NA
"27","Centennial College of Applied Arts and Technology","Pharmacy Technician","https://www.centennialcollege.ca/programs-courses/full-time/pharmacy-technician/","PHAR-230","Final Pharmacy Placement",NA
