"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-100","Light",NA
"3","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-101","The Camera",NA
"4","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-102","Digital Darkroom 1",NA
"5","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-103","Visual Literacy",NA
"6","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-104","History of Photography",NA
"7","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-105","Analog Darkroom",NA
"8","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-199","Creativity in Context",NA
"9","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","COMM-170/171","College Communication 2",NA
"10","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","GNED","General Education Elective",NA
"11","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-200","Building a Sustainable Business 1",NA
"12","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-201","Studio Lighting",NA
"13","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-206","Digital Darkroom 2",NA
"14","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-207","Photojournalism",NA
"15","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-208","The Portrait",NA
"16","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-500","STORYWORKS",NA
"17","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"18","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-300","Building a Sustainable Business 2",NA
"19","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-302","Commercial Studio",NA
"20","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-304","Architecture and Fine Art",NA
"21","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-305","Motion 1",NA
"22","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-306","Editorial and Corporate",NA
"23","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-308","Digital Darkroom 3",NA
"24","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","GNED","General Education Elective",NA
"25","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-401","Portfolio Development",NA
"26","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-402","Senior Project",NA
"27","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-404","Image Xchange",NA
"28","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-405","Motion 2",NA
"29","Centennial College of Applied Arts and Technology","Photography","https://www.centennialcollege.ca/programs-courses/full-time/photography/","IMAG-406","Field Placement",NA
