"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","ANAT-113","Introduction to Anatomy and Physiology",NA
"2","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","COMM-160/COMM-161","College Communications 1",NA
"3","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","GNED","General Education Elective",NA
"4","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-103","Practical Nursing Professional Growth 1",NA
"5","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-104","Practical Nursing Theory 1",NA
"6","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-105","Practical Nursing Clinical Applications 1",NA
"7","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-145","Mathematics for Practical Nurses",NA
"8","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","COMM-170/COMM-171","College Communications 2",NA
"9","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PATH-122","Practical Nursing Pathophysiology/Pharmacotherapeutics 1",NA
"10","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-124","Practical Nursing Theory 2",NA
"11","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-125","Practical Nursing Clinical Applications 2",NA
"12","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-126","Practical Nursing Health Assessment",NA
"13","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-129","Foundations of Research and Evidence-Based Practice for Practical Nurses",NA
"14","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","GNED","General Education Elective",NA
"15","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"16","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PATH-222","Practical Nursing Pathophysiology/Pharmacotherapeutics 2",NA
"17","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-203","Practical Nursing Professional Growth 2",NA
"18","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-204","Practical Nursing Theory 3",NA
"19","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-205","Practical Nursing Clinical Applications 3",NA
"20","Centennial College of Applied Arts and Technology","Practical Nursing","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing/","PNUR-250","Practical Nursing Pregraduate Clinical Applications",NA
