"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-122","Pathophysiology/Pharmacotherapeutics 1",NA
"3","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-123","Introduction to Nursing in Ontario",NA
"4","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-124","Theoretical Concepts in Nursing 1",NA
"5","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-125","Nursing Practice in Ontario 1",NA
"6","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-126","Health Assessment: A Holistic Approach",NA
"7","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","COMM-170/COMM-171","College Communications 2",NA
"8","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-222","Pathophysiology/Pharmacotherapeutics 2",NA
"9","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-223","Issues, Trends, Leadership and Evidence-Based Practice In Nursing",NA
"10","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-224","Theoretical Concepts in Nursing 2",NA
"11","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-225","Nursing Practice in Ontario 2",NA
"12","Centennial College of Applied Arts and Technology","Practical Nursing for Internationally Educated Nurses","https://www.centennialcollege.ca/programs-courses/full-time/practical-nursing-internationally-educated-nurses/","IEPN-250","Practical Nursing Pregraduate Clinical Applications",NA
