"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","BUSN-110","Strategies for Business Success",NA
"2","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","BUSN-117","Canadian and International Business Fundamentals 1",NA
"3","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","COMM-130","Developing College Communication Skills",NA
"4","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","GNED","General Education Elective",NA
"5","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","MATH-128","Mathematics of Finance I - E",NA
"6","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","ACCT-123","Financial Accounting Concepts",NA
"7","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","BUSN-118","Canadian and International Business Fundamentals 2",NA
"8","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","BUSN-123","Employment and Careers",NA
"9","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","COMM-140","Essential English Skills",NA
"10","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","COMP-106","Applied Business Software 1",NA
"11","Centennial College of Applied Arts and Technology","Pre-Business","https://www.centennialcollege.ca/programs-courses/full-time/pre-business/","MKTG-116","Principles of Marketing",NA
