"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-101","Introduction to Fire Service",NA
"2","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-102","Fire Ground Operations",NA
"3","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-105","Fire Suppression 1",NA
"4","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-106","Fitness",NA
"5","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-109","Fire and Safety Initiatives",NA
"6","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-110","Professional Preparation",NA
"7","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-112","Firefighter Skills and Practical Training 1",NA
"8","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","COMM-160/COMM-161","College Communications 1",NA
"9","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-207","Rescue Operations",NA
"10","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-208","Environmental Protection",NA
"11","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-210","Professional Preparation",NA
"12","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-212","Firefighter Skills and Practical Training 2",NA
"13","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-213","Emergency Patient Care",NA
"14","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"15","Centennial College of Applied Arts and Technology","Pre-Service Firefighter Education and Training","https://www.centennialcollege.ca/programs-courses/full-time/preservice-firefighter-education-training/","FIRE-312","Firefighter Skills and Practical Training 3",NA
