"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-701","Fundamentals of Project Management",NA
"3","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-702","Project Leadership",NA
"4","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-703","Project Communications",NA
"5","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-706","Business Principles",NA
"6","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-707","Business Analysis",NA
"7","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-721","Project Planning and Scheduling",NA
"8","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT","Project Management Elective",NA
"9","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-724","Procurement and Contract Management",NA
"10","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-728","International Project Management and Professional Responsibilities",NA
"11","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-729","Project Management Office",NA
"12","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-730","Project Risk Management",NA
"13","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-731","Project Quality Management",NA
"14","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","PMGT-732","Microsoft Project",NA
"15","Centennial College of Applied Arts and Technology","Project Management (Pickering Learning Site)","https://www.centennialcollege.ca/programs-courses/full-time/project-mgmt/","BUSN-750","Business - Experiential Learning*",NA
