"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-701","Communications Management 1",NA
"2","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-721","Public Relations Writing 1: Writing to inform",NA
"3","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-742","Project and Event Management",NA
"4","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-746","Integrated Public Relations 1",NA
"5","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-747","Data and Analytics",NA
"6","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-748","Business for Corporate Communicators",NA
"7","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-749","Professional Practice",NA
"8","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-751","Copy Editing",NA
"9","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-707","Public Relations Writing 2: Writing to Persuade",NA
"10","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-741","Visual Communication",NA
"11","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-752","Communications Management 2",NA
"12","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-753","Presentation Skills",NA
"13","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-754","Integrated Public Relations 2",NA
"14","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-761","Design and Layout",NA
"15","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-790","Field Placement",NA
"16","Centennial College of Applied Arts and Technology","Public Relations – Corporate Communications","https://www.centennialcollege.ca/programs-courses/full-time/public-relations-corporate-communications/","CN-799","Storyworks",NA
