"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-700","Introduction to Publishing",NA
"2","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-701","Writing for Publication",NA
"3","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-702","Editing",NA
"4","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-703","Content Management",NA
"5","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-705","Elements of Publishing Design",NA
"6","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-706","Copyright, Contracts and Permissions",NA
"7","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-799","Storyworks",NA
"8","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-750","Book Editing",NA
"9","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-751","Magazine Editing",NA
"10","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-752","Magazine Marketing",NA
"11","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-753","Book Marketing and Sales",NA
"12","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-754","Applications of Publishing Design",NA
"13","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-756","Publishing for Screen",NA
"14","Centennial College of Applied Arts and Technology","Publishing - Book, Magazine and Electronic","https://www.centennialcollege.ca/programs-courses/full-time/publishing-book-magazine-electronic/","PB-790","Field Placement",NA
