"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","COMM-160/COMM-161","College Communications 1",NA
"2","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","GNED-179","Mastering the Moment: An Introduction to Mindfulness and Meditation",NA
"3","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-102","Recreation Programming Principles",NA
"4","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-103","Keys to Success in Recreation and Leisure Services",NA
"5","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-104","Gerontology and Wellness",NA
"6","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-113","Child and Youth Development",NA
"7","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","COMM-170/COMM-171","College Communications 2",NA
"8","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-121","Practical Applications of Recreation Programming",NA
"9","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-124","Field Seminar 2",NA
"10","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-125","Field Placement 2",NA
"11","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-126","Inclusive Recreation",NA
"12","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-127","Advanced Computer Applications",NA
"13","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-128","Effective Leadership Skills",NA
"14","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","ENGL-207","Report Writing for Recreation and Leisure Services",NA
"15","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"16","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-201","Event Management",NA
"17","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-209","Field Seminar 3",NA
"18","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-210","Field Placement 3",NA
"19","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-230","Community Development",NA
"20","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","GNED","General Education Elective",NA
"21","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-222","Launching Your Career",NA
"22","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-223","The Business of Recreation and Entrepreneurship",NA
"23","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-231","Recreation Management and Marketing",NA
"24","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-234","Healthy and Active Lifestyles",NA
"25","Centennial College of Applied Arts and Technology","Recreation and Leisure Services","https://www.centennialcollege.ca/programs-courses/full-time/recreation-and-leisure-services/","RECL-245","Field Placement 4",NA
