"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","MATH-101","Mathematics 1",NA
"3","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-111","Electrical Fundamentals",NA
"4","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-112","Cooling Cycles Fundamentals",NA
"5","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-113","Heating Fundamentals 1",NA
"6","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-114","Pipe Joining , Installation, Welding, Gas Piping  and Safety",NA
"7","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","COOP-621","Employment Preplacement 4",NA
"8","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","GNED","General Education Elective",NA
"9","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","GNED","General Education Elective",NA
"10","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-121","Electrical & Control Systems",NA
"11","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-122","Pressure Enthalpy and Refrigerants Cooling Systems and Components",NA
"12","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-123","Heating Fundamentals 2",NA
"13","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-124","Plan Specifications and Load Calculations Systems and Components",NA
"14","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","COMM-170/171","College Communication 2",NA
"15","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"16","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","MATH-216","Mathematics for HRAC",NA
"17","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-211","Advanced Electrical",NA
"18","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-212","Auto Cad, Prints & Heat Load Calculations",NA
"19","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-213","Heating Hydronic Fundamentals",NA
"20","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","AMEG-212","Applied Ethics in Technology and the Environment",NA
"21","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-221","Capstone Project",NA
"22","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-222","Applied Psychrometrics",NA
"23","Centennial College of Applied Arts and Technology","Refrigeration and Air Conditioning Mechanic - Heating, Refrigeration and Air Conditioning Technician","https://www.centennialcollege.ca/programs-courses/full-time/mechanic-heating-refrigeration-air-conditioning-technician/","RACH-223","Air Conditioning & Distribution Systems",NA
