"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","COMM-170/COMM-171","College Communications 2",NA
"2","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","COMP-214","Advanced Database Concepts",NA
"3","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","COMP-228","Java Programming",NA
"4","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","COMP-229","Web Application Development",NA
"5","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","COMP-246","Object Oriented Software Engineering",NA
"6","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"7","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","COMP-212","Programming 3",NA
"8","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","COMP-231","Software Development Project I",NA
"9","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","COMP-311","Software Testing and Quality Assurance",NA
"10","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","ELECT","Technical Elective",NA
"11","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","EMPS-101","Employment Skills",NA
"12","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","ENGL-253","Advanced Business Communications",NA
"13","Centennial College of Applied Arts and Technology","Software Engineering Technician (Fast-Track)","https://www.centennialcollege.ca/programs-courses/full-time/software-engineering-technician-fast-track/","GNED","General Education Elective",NA
