"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-701","Accounting for Managerial Decision Making",NA
"2","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-725","Accounting Theory and Policy",NA
"3","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-726","Introduction to Canadian Income Tax",NA
"4","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-742","Advanced Auditing",NA
"5","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-757","Advanced Accounting Information Systems",NA
"6","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","BUSN-731","Corporate and Business Law",NA
"7","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-702","Financial Management",NA
"8","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-722","Advanced Managerial Accounting",NA
"9","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-746","Advanced Taxation",NA
"10","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","ACCT-755","Advanced Financial Accounting",NA
"11","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","MGMT-702","Crafting and Executing Strategy",NA
"12","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting/","MGMT-703","Ethics and Stakeholder Management",NA
