"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-701","Accounting for Managerial Decision Making",NA
"2","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-725","Accounting Theory and Policy",NA
"3","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-726","Introduction to Canadian Income Tax",NA
"4","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-742","Advanced Auditing",NA
"5","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-757","Advanced Accounting Information Systems",NA
"6","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","MGMT-703","Ethics and Stakeholder Management",NA
"7","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-702","Financial Management",NA
"8","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-722","Advanced Managerial Accounting",NA
"9","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-746","Advanced Taxation",NA
"10","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","ACCT-755","Advanced Financial Accounting",NA
"11","Centennial College of Applied Arts and Technology","Strategic Management – Accounting Specialization (Online)","https://www.centennialcollege.ca/programs-courses/full-time/strategic-management-accounting-online/","MGMT-702","Crafting and Executing Strategy",NA
