"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","BUSN-702","Coop/Employment Preparedness",NA
"2","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","BUSN-733","Business Culture and Craft",NA
"3","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","MKTG-716","Marketing",NA
"4","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","OMGT-701","Operations Management for Products and Services",NA
"5","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","OMGT-707","Transportation Systems and Logistics Processes",NA
"6","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","OMGT-711","Transportation Law",NA
"7","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","ACCT-701","Accounting for Managerial Decision Making",NA
"8","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","MGMT-702","Crafting and Executing Strategy",NA
"9","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","OMGT-705","Supply Chain Risk Management",NA
"10","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","OMGT-706","Supply Chain Technology",NA
"11","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","OMGT-708","Transportation Economics",NA
"12","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","OMGT-709","Integrated Logistics",NA
"13","Centennial College of Applied Arts and Technology","Supply Chain Management - Logistics (Optional Co-op)","https://www.centennialcollege.ca/programs-courses/full-time/logistics-management/","OPTION","See Options List Below",NA
