"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-701","The Business of Producing 1",NA
"2","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-702","Accounting for Film & Television 1",NA
"3","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-703","Production Management and Coordination 1",NA
"4","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-704","Entertainment Law 1",NA
"5","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-707","Financing and Funding",NA
"6","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-709","Production Basics",NA
"7","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-710","Survey of Contemporary Screen Media",NA
"8","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-722","Professional Practice",NA
"9","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-706","Business, Entrepreneurship and Innovation",NA
"10","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-711","The Business of Producing 2",NA
"11","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-712","Accounting for Film & Television 2",NA
"12","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-713","Production Management and Coordination 2",NA
"13","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-714","Entertainment Law 2",NA
"14","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-715","International Coproduction",NA
"15","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-716","Funding and Financing 2",NA
"16","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-717","International Distribution",NA
"17","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-721","Field Placement",NA
"18","Centennial College of Applied Arts and Technology","Television & Film - Business","https://www.centennialcollege.ca/programs-courses/full-time/television-film-business/","FTVB-799","Storyworks",NA
