"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-100","Acting Workshop I",NA
"3","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-110","Creative Project I: Storytelling",NA
"4","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-120","Script Reading & Analysis I: Canadian Playwrights",NA
"5","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-125","Technique I: Introduction to Movement",NA
"6","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-199","Creativity in Context: Creating Theatre in the Community",NA
"7","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-240","Creative Roles in the Theatre",NA
"8","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","COMM-170/171","College Communication 2",NA
"9","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-115","Entrepreneurship I: Creating Opportunities in the Theatre",NA
"10","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-200","Acting Workshop II",NA
"11","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-210","Creative Project II: Directed Production",NA
"12","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-220","Script Reading & Analysis II: Shakespeare and the Classics",NA
"13","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-225","Technique II: Movement and Voice",NA
"14","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-230","Shadowing Placement I",NA
"15","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"16","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-300","Acting Workshop III",NA
"17","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-310","Creative Project III: Ensemble",NA
"18","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-315","Entrepreneurship II: Getting Money-Funding and Revenue Development",NA
"19","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-320","Script Reading & Analysis III: World Theatre",NA
"20","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-325","Technique III: Mask, Movement and Voice",NA
"21","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-360","Design I - Set Design, Scenic Painting and Properties, Costume Design and Wardrobe",NA
"22","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","GNED","General Education Elective",NA
"23","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-370","Media I: New Media in Theatre",NA
"24","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-400","Acting Workshop IV",NA
"25","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-410","Creative Project IV: Storefront",NA
"26","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-415","Entrepreneurship III: Theatre Business and Industry",NA
"27","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-425","Technique IV: Music, Movement and Voice",NA
"28","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-426","Directing",NA
"29","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-500","STORYWORKS",NA
"30","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","GNED","General Education Elective",NA
"31","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-470","Media II – Camera Operation and Directing for Film; Film and Video Editing",NA
"32","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-501","Acting Workshop V",NA
"33","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-510","Creative Project V: Community",NA
"34","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-515","Entrepreneurship IV: Financial Managing Skills",NA
"35","Centennial College of Applied Arts and Technology","Theatre Arts and Performance","https://www.centennialcollege.ca/programs-courses/full-time/theatre-arts-performance/","THEA-520","Script Reading & Analysis IV: Playwriting",NA
