"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","COMM-160/161","College Communication 1",NA
"2","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","GNED","General Education Elective",NA
"3","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-101","Introduction to Computers (Online)",NA
"4","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-102","Food Safety, Smart Serve, First Aid",NA
"5","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-106","Presenting and Communicating Effectively",NA
"6","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-122","Beverage, Bar and Dining Room",NA
"7","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-220","Principles of Hospitality Management",NA
"8","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-111","Introduction to Tourism and Hospitality",NA
"9","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","COMM-170/171","College Communication 2",NA
"10","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-204","Introduction to Hospitality Sales and Marketing",NA
"11","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-215","Introduction to Hospitality Accounting",NA
"12","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-202","Meetings and Events Management",NA
"13","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-203","Tourism Geography and Destinations",NA
"14","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-210","Transportation: Air, Flights and Fares",NA
"15","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-211","Travel Costing, Demand and Distribution",NA
"16","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-220","Transportation: Ground and Cruises",NA
"17","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","GNED","General Education Elective",NA
"18","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","GNED-500","Global Citizenship:  From Social Analysis to Social Action",NA
"19","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-307","Hospitality Management Career Preparation",NA
"20","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-303","Canadian Tourism in the Global Perspective",NA
"21","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-306","Service Excellence and Professionalism",NA
"22","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-307","Ethics and Regulation in Tourism",NA
"23","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-308","Tourism Applications",NA
"24","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-309","Speciality Tourism, Research and Trends",NA
"25","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","EVNT-302","Event Marketing and Social Media",NA
"26","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","HOSP-400","Career and Leadership Development (Online)",NA
"27","Centennial College of Applied Arts and Technology","Tourism","https://www.centennialcollege.ca/programs-courses/full-time/tourism/","TOUR-555","Work Integrated Learning: Tourism",NA
