"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PROB-014","Pre-Apprenticeship English/Workplace Communications",NA
"2","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PROB-024","Pre-Apprenticeship Math",NA
"3","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRPE-114","Parts Components",NA
"4","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRCV-101","Trade Practices",NA
"5","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRCV-102","Engine Systems",NA
"6","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRCV-105","Drive Train Systems",NA
"7","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRCV-106","Wheel End Assemblies and Brake Systems",NA
"8","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRCV-107","Electrical Systems",NA
"9","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRCV-108","Fuel Systems",NA
"10","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRCV-109","Fluid Power Systems",NA
"11","Centennial College of Applied Arts and Technology","Truck and Coach Pre-Apprenticeship","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-pre-apprenticeship/","PRCV-110","Work Placement Term",NA
