"","Institution","Program","Program_url","Code","Name","Description"
"1","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APTR-201","Trade Practices",NA
"2","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APTR-202","Engine Systems",NA
"3","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APTR-205","Drive Trains",NA
"4","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APTR-206","Brake Systems",NA
"5","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APTR-207","Electrical Systems",NA
"6","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APTR-208","Fuel Systems",NA
"7","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APVO-309","Fluid Power Systems",NA
"8","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APTR-307","Electrical Systems",NA
"9","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APTR-310","Electrical Management and Emission",NA
"10","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APVO-301","Trade Practices",NA
"11","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APVO-302","Engine Systems",NA
"12","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APVO-305","Drive Trains",NA
"13","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APVO-306","Brake Systems",NA
"14","Centennial College of Applied Arts and Technology","Truck and Coach Technician ATS MAP 32","https://www.centennialcollege.ca/programs-courses/full-time/truck-and-coach-technician-ats-map-32/","APVO-308","Fuel Systems",NA
