"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","CPT1000","Comptabilité I - cycle comptable",NA
"2","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","FRA1005","Français I",NA
"3","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","GES1008","Introduction aux",NA
"4","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","GES1028","Principes de gestion",NA
"5","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","INF1080","Applications en affaires I",NA
"6","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","MAT1028","Mathématiques commerciales",NA
"7","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","MKT1000","Principes du marketing",NA
"8","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","COM1009","Microéconomie",NA
"9","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","CPT1001","Comptabilité II - entreprise commerciale",NA
"10","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","ENG1011","Professional Communication in English",NA
"11","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","FGCHXGLOBAL","GEN au choix",NA
"12","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","GES1015","Mathématiques financières",NA
"13","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","INF1081","Applications en affaires II",NA
"14","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","MKT1001","Marketing des produits et services",NA
"15","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","CPT1000","Comptabilité I - cycle comptable",NA
"16","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","GES1008","Introduction aux",NA
"17","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","INF1080","Applications en affaires I",NA
"18","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","MAT1028","Mathématiques commerciales",NA
"19","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","ENG1011","Professional Communication in English",NA
"20","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","FGCHXGLOBAL","GEN au choix",NA
"21","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","FRA1005","Français I",NA
"22","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","GES1028","Principes de gestion",NA
"23","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","INF1081","Applications en affaires II",NA
"24","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","MKT1000","Principes du marketing",NA
"25","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","COM1009","Microéconomie",NA
"26","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","CPT1001","Comptabilité II - entreprise commerciale",NA
"27","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","GES1015","Mathématiques financières",NA
"28","Collège Boréal","Administration des affaires ","https://www.collegeboreal.ca//programmes/affaires/praa-pratiques-en-administration-des-affaires","MKT1001","Marketing des produits et services",NA
