"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1007","Leadership en services à l'enfance",NA
"2","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1013","Conception du programme éducatif",NA
"3","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1017","Communication professionnelle",NA
"4","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1019","Gestion et supervision des ressources humaines",NA
"5","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1008","Gouvernance en services à l'enfance",NA
"6","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1010","Recrutement et orientation des ressources humaines",NA
"7","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1012","Relations avec les familles et la communauté",NA
"8","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1014","Gestion de l'environnement",NA
"9","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1009","Planification budgétaire et contrôle",NA
"10","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1011","Appréciation de rendement et perfectionnement professionnel",NA
"11","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1015","Mise en oeuvre et évaluation du curriculum",NA
"12","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1016","Projet professionnel",NA
"13","Collège Boréal","Administration en services à l'enfance - postdiplôme","https://www.collegeboreal.ca//programmes/services-communautaires/aged-administration-en-services-a-lenfance-postdiplome","SGE1018","Lois, règlements et politiques",NA
