"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","FRA1005","Français I",NA
"2","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","SOC1010","Communication interpersonnelle",NA
"3","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1000","Greffier/greffière d'un tribunal criminel-Cour de justice provincial",NA
"4","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante s’initie au rôle de greffier ou greffière d’un tribunal criminel de la cour de justice provinciale. Il ou elle étudie le décorum, les principes et les procédures d’une audience conformément aux lignes directrices ministérielles. L’étudiant ou l’étudiante acquiert les habiletés nécessaires pour gérer une audience en respectant les règlements applicables ainsi que la confidentialité et la sensibilité requises en salle d’audience.",NA,NA
"5","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1001","Introduction à l'informatique et aux technologies judiciaires",NA
"6","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante apprend à utiliser l’ordinateur en tant qu’aide à la rédaction, à la recherche et à la gestion de dossiers. Il ou elle étudie l’utilisation de l’environnement Windows 7, la préparation de documents à l’aide du logiciel Word 2010 et l’utilisation d’outils pour la préparation de présentations PowerPoint efficaces.",NA,NA
"7","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1002","Greffier / greffière d'un tribunal de la famille I",NA
"8","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante s’initie au rôle de greffier ou greffière en droit de la famille à la Cour de justice provinciale et à la Cour supérieure de justice. Il ou elle y étudie le décorum et le déroulement d’une audience, ainsi que les responsabilités avant, après et pendant l’audience, conformément aux procédures, aux pratiques et aux lignes directrices ministérielles. L’étudiant ou l’étudiante s’introduit au droit de la famille et à ses procédures ainsi que les principes de la gestion de cas ainsi que les calendriers d’intervention de la protection de l’enfance.",NA,NA
"9","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1004","Droit canadien",NA
"10","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante s’initie au droit canadien ainsi qu’au développement du système juridique du Canada. Il ou elle fait un survol des sources et divisions du droit ainsi que la Constitution canadienne et la Charte canadienne des droits et libertés. L’étudiant ou l’étudiante étudie le droit de la responsabilité civile, le droit de la famille, le droit successoral, le droit immobilier, et le droit administratif.",NA,NA
"11","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1005","Enregistrement magnétique/sténographie judiciaire I",NA
"12","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante s’initie au rôle de préposé ou préposée à l’enregistrement magnétique en salle d’audience et au rôle de sténographe judiciaire en contexte privé. Il ou elle étudie le décorum, les procédures d’une audience et l’enregistrement d’une audience conformément aux lignes directrices ministérielles. L’étudiant ou l’étudiante apprend les technologies d’enregistrement magnétique actuelles et applicables en salle d’audience.",NA,NA
"13","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1012","Préparation à la carrière",NA
"14","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante aborde diverses activités d’apprentissage qui lui permettent d’acquérir les connaissances et les habiletés pour le préparer à travailler dans le domaine des services d’appui aux tribunaux. Il ou elle fait preuve de connaissances et habiletés acquises durant le programme lors de simulations d’entrevues menées avec des gestionnaires de tribunaux et des entreprises du secteur privé.",NA,NA
"15","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","ENG1011","Professional Communication in English",NA
"16","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1006","Greffier/greffière d'un tribunal-Cour supérieure de justice (civil/criminel)",NA
"17","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante s’initie au rôle de greffier ou greffière dans les instances civiles, la Cour des petites créances et les instances criminelles à la Cour supérieure de justice. Il ou elle étudie le décorum et le déroulement d’une audience conformément aux lignes directrices ministérielles ainsi que les divers types de proclamations et serment lors de l’instance. L’étudiant ou l’étudiante apprend aussi comment gérer les pièces de preuve et se familiarise avec le processus de sélection d’un jury.",NA,NA
"18","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1007","Greffier/greffière d'un tribunal pour adolescents-Cour de justice provincial",NA
"19","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante s’initie au rôle de greffier ou greffière d’un tribunal pour adolescents en salle d’audience. Il ou elle étudie le décorum ainsi que les principes et les procédures d’une audience conformément aux lignes directrices ministérielles. L’étudiant ou l’étudiante apprend à agir à titre de greffier ou greffière en respectant les règlements applicables ainsi que la confidentialité et la sensibilité requises en salle d'audience.",NA,NA
"20","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1008","Greffier/greffière d'un tribunal de la famille II",NA
"21","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante continue son étude de rôle de greffier ou greffière en droit de la famille à la Cour de justice de l’Ontario et à la Cour supérieure de justice. Il ou elle examine les applications pratiques, comme la lecture et la compréhension des procès-verbaux de règlements, des consentements et des ordonnances d’un juge. L’étudiant ou l’étudiante apprend à préparer les formulaires et les ordonnances qui découlent d’une inscription par un juge.",NA,NA
"22","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","TRI1010","Greffier/greffière-Loi sur les infractions provinciales",NA
"23","Collège Boréal","Appui aux tribunaux","https://www.collegeboreal.ca//programmes/affaires/atri-pratique-d-appui-aux-tribunaux","L’étudiant ou l’étudiante s’initie au rôle de greffier ou greffière/préposé en salle d’audience du Tribunal des infractions provinciales de sa province. Il ou elle étudie le décorum ainsi que les principes et les procédures d’une audience selon les lignes directrices ministérielles. L’étudiant ou l’étudiante se familiarise avec les tâches reliées au Tribunal des infractions provinciales telles que: la gestion de dossiers et la gestion de tous les documents reliés aux audiences.",NA,NA
