"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1000","Dessin d'exécution I",NA
"2","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","Ce cours introduit l’étudiante ou l’étudiant aux dessins techniques. Ce cours permet à l’étudiante ou l’étudiant de se familiariser aux techniques de communication graphique et aux notions géométriques élémentaires. Chacun applique leur technique de dessin pour la production de dessins résidentiels en ossature de bois.",NA,NA
"3","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1001","Conception architecturale I",NA
"4","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1002","Code du bâtiment - Partie 9",NA
"5","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1003","Méthodes et matériaux I",NA
"6","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1004","Mécanique appliquée statique",NA
"7","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1005","Histoire de l'architecture nord-américaine",NA
"8","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","FRA1005","Français I",NA
"9","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1006","Dessin d'exécution II",NA
"10","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1007","Conception architecturale II",NA
"11","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1008","Méthodes et matériaux II",NA
"12","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1010","Résistance des matériaux- Bois",NA
"13","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","Ce cours initie l’étudiante ou l’étudiant aux principes de base de la construction en bois pour être en mesure de concevoir, dessiner et calculer les éléments d'une charpente en bois simple conformément au CNBC. Les nouvelles initiatives de l’industrie du bois ainsi que celle du recyclage seront présentées.",NA,NA
"14","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ENG1009","English in the workplace",NA
"15","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","FGCHXSOC2","GEN au choix",NA
"16","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1011","Conception architecturale III",NA
"17","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1012","Code du bâtiment - Partie 3",NA
"18","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","Ce cours poursuit l'étude du Code du bâtiment de l'Ontario et d'autres règlements relatifs à la pratique architecturale. L'étudiante ou l’étudiant devra connaitre et appliquer des critères et des exigences du code du bâtiment de l'Ontario dans une variété de situations de construction, en se concentrant sur la partie 3 du code pour les édifices publics.",NA,NA
"19","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1013","Méthodes et matériaux III",NA
"20","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1014","Résistance des matériaux- Acier et béton armé",NA
"21","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1015","Science du bâtiment - électricité",NA
"22","Collège Boréal","Architecture","https://www.collegeboreal.ca//programmes/metiers/artg-technologie-de-l-architecture","ARQ1016","Gérance de l'environnement",NA
