"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1017",NA,NA
"2","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours permet à l’étudiante ou l’étudiant d’identifier les composantes des tracteurs ainsi que d’une gamme de machineries et d’équipements utilisés à diverses fins agricoles. Les notions acquises permettent à la technicienne ou au technicien agricole de faire un choix éclairé des machineries pertinentes pour répondre à divers besoins d’entreprises agricoles. De plus, on s’initie aux nouvelles technologies, dont celles reliées à l’agriculture de précision.",NA,NA
"3","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1018",NA,NA
"4","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours traite des structures, des fonctions fondamentales, de la croissance et de la reproduction des plantes. Il permet à l’étudiante ou à l’étudiant de déterminer la catégorie d’appartenance de divers végétaux, de classer les plantes à usage agricoles ainsi que de faire l’analyse de l’anatomie la morphologie et la physiologie des plantes pour en faire une gestion efficace.",NA,NA
"5","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1019",NA,NA
"6","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours traite des concepts fondamentaux qui permettent à l’étudiante ou à l’étudiant de comparer les principaux systèmes de l’anatomie des monogastriques, des polygastriques et de la volaille. Ces notions permettent à l’étudiante ou l’étudiant de comprendre la physiologie animale et d’appliquer des principes liés à la nutrition, à la reproduction et à la génétique des élevages commerciaux.",NA,NA
"7","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1020",NA,NA
"8","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours théorique et pratique comprend l’étude de l’origine des sols, leur composition, leur classification et leurs différentes propriétés. Ces notions permettent à l’étudiante ou l’étudiant de faire des choix éclairés de production en lien avec le sol, de choisir les amendements nécessaires et calculer les doses requises à épandre.",NA,NA
"9","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1024",NA,NA
"10","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","",NA,NA
"11","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1033",NA,NA
"12","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","FRA1005",NA,NA
"13","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","GEN1046",NA,NA
"14","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGA1000",NA,NA
"15","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours permet à l’étudiante ou l’étudiant de connaître les bonnes pratiques agricoles pour la production de plantes fourragères légumineuses et graminées et pour les céréales à paille telles que le blé, l’orge et l’avoine. L’étude des concepts permet à l’étudiante ou l’étudiant de faire le choix des espèces et des cultivars, de calculer la fertilisation, de décrire les techniques de semis, de proposer des techniques appropriées de contrôle des mauvaises herbes et des ravageurs et de suggérer des méthodes de récolte et d’entreposage.",NA,NA
"16","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGA1005",NA,NA
"17","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1022",NA,NA
"18","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours permet à l’étudiante ou l’étudiant de s’initier aux principes généraux de gestion des entreprises agricoles ainsi que de décrire les fonctions de l’entreprise et son environnement d’affaires. Elle ou il utilise différents systèmes comptables pour faire la tenue de livres des transactions incluant les taxes de vente et les écritures de régularisation, dresse les quatre états financiers reconnus et calcule la paie des employés.",NA,NA
"19","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1026",NA,NA
"20","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours traite des principes fondamentaux de gestion des ressources humaines. Il permet à l’étudiante ou à l’étudiant de se familiariser avec des techniques et des outils de gestion du personnel nécessaires pour planifier les besoins en main-d’œuvre, l’embauche, la supervision, la direction, la motivation, l’évaluation, la communication et la résolution de conflits.",NA,NA
"21","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1027",NA,NA
"22","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours initie l’étudiante ou l’étudiant au rôle et aux impacts de l'agriculture dans les écosystèmes. Ces concepts lui permettent de proposer l'utilisation de meilleures pratiques de gestion pour la conservation des sols, de l'eau et des autres ressources naturelles ainsi que de préparer des plans agroenvironnementaux pour la fertilisation des champs.",NA,NA
"23","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGV1002",NA,NA
"24","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","Ce cours traite des concepts et des fonctions du marketing mix (produit, prix, promotion, place) dans le contexte du secteur agroalimentaire et en lien avec les besoins et les exigences du consommateur. L’étudiante ou l’étudiant applique des techniques de base en vente.",NA,NA
"25","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","ENG1011",NA,NA
"26","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","STG1132",NA,NA
"27","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1030",NA,NA
"28","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1031",NA,NA
"29","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","AGR1032",NA,NA
"30","Collège Boréal","Arts culinaires","https://www.collegeboreal.ca/","CHXAGRQ-2",NA,NA
