"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","BIO1022","Biologie I",NA
"2","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1016","Laboratoire",NA
"3","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1017","Santé et sécurité",NA
"4","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1018","Examen Clinique",NA
"5","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1019","Cosmétologie",NA
"6","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1020","Soins des mains",NA
"7","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1021","Soins des pieds",NA
"8","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1022","Soins du visage",NA
"9","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","FRA1005","Français I",NA
"10","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","ENG1009","English in the workplace",NA
"11","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1023","Maquillage",NA
"12","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1024","Épilation",NA
"13","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1026","Clinique d'esthétique I",NA
"14","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1027","Gestion quotidienne, consultations et ventes",NA
"15","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1028","Soins spécialisés du visage",NA
"16","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1030","Soins du corps I",NA
"17","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","FGCHXSANTEC","GEN au choix",NA
"18","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1031","Clinique d'esthétique II",NA
"19","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1034","Techniques d'application cosmétique",NA
"20","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","EST1035","Soins du corps II",NA
"21","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","GES1007","Introduction à l'entreprenariat",NA
"22","Collège Boréal","Esthétique","https://www.collegeboreal.ca//programmes/metiers/estq-techniques-d-esthetique","SOC1010","Communication interpersonnelle",NA
