"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","FRA1005",NA,NA
"2","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","INF1078",NA,NA
"3","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MAT1026",NA,NA
"4","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1014",NA,NA
"5","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1015",NA,NA
"6","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","SOU1021",NA,NA
"7","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","TEC1000",NA,NA
"8","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","ENG1009",NA,NA
"9","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MEC1013",NA,NA
"10","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1017",NA,NA
"11","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1019",NA,NA
"12","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1020",NA,NA
"13","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","SOU1022",NA,NA
"14","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","FGCHXSOC2",NA,NA
"15","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MAT1027",NA,NA
"16","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1024",NA,NA
"17","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1025",NA,NA
"18","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1026",NA,NA
"19","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1027",NA,NA
"20","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1028",NA,NA
"21","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","SOC1010",NA,NA
"22","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1029",NA,NA
"23","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1033",NA,NA
"24","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1034",NA,NA
"25","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1039",NA,NA
"26","Collège Boréal","Fabrication de prototypes et usinage","https://www.collegeboreal.ca/","MMI1040",NA,NA
