"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1001",NA,NA
"2","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1018",NA,NA
"3","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1019",NA,NA
"4","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1030",NA,NA
"5","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1036",NA,NA
"6","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","INF1078",NA,NA
"7","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","MAT1006",NA,NA
"8","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","PHY1000",NA,NA
"9","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1020",NA,NA
"10","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1021",NA,NA
"11","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1022",NA,NA
"12","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1023",NA,NA
"13","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","MAT1007",NA,NA
"14","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","MAT1023",NA,NA
"15","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1003",NA,NA
"16","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1005",NA,NA
"17","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1007",NA,NA
"18","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1015",NA,NA
"19","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","ENG1011",NA,NA
"20","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","FRA1005",NA,NA
"21","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1000",NA,NA
"22","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1004",NA,NA
"23","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1006",NA,NA
"24","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1012",NA,NA
"25","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1028",NA,NA
"26","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","FGCHXSOC2",NA,NA
"27","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","SOC1010",NA,NA
"28","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1008",NA,NA
"29","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1009",NA,NA
"30","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1010",NA,NA
"31","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1011",NA,NA
"32","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1016",NA,NA
"33","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1026",NA,NA
"34","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1013",NA,NA
"35","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1014",NA,NA
"36","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1024",NA,NA
"37","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1027",NA,NA
"38","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","CTN1037",NA,NA
"39","Collège Boréal","Génie chimique","https://www.collegeboreal.ca/","STG1023",NA,NA
