"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1001","Géologie",NA
"2","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1018","Introduction à l'analyse des structures",NA
"3","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1019","Géométrie descriptive et dessin industriel",NA
"4","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1030","Lecture des bleus",NA
"5","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1036","Santé et sécurité sur le chantier",NA
"6","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","INF1078","Logiciels Microsoft",NA
"7","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","MAT1006","Mathématiques appliquées I",NA
"8","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","PHY1000","Physique",NA
"9","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1020","Dessin assisté par ordinateur I (2D)",NA
"10","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1021","Mécanique des fluides",NA
"11","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1022","Méthodes minières I",NA
"12","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1023","Topométrie et camp d'arpentage",NA
"13","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","MAT1007","Mathématiques appliquées II",NA
"14","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","MAT1023","Statistiques pour technologues",NA
"15","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1003","Résistance des matériaux et design fondamental",NA
"16","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1005","Mécanique des sols",NA
"17","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1007","Levé automatisé",NA
"18","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1015","Dessin assisté par ordinateur II (3D)",NA
"19","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","ENG1011","Professional Communication in English",NA
"20","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","FRA1005","Français I",NA
"21","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1000","Méthodes minières II",NA
"22","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1004","Structures géologiques",NA
"23","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1006","Méthodes et matériaux de construction",NA
"24","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1012","Impact environnemental",NA
"25","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","CTN1028","Levé souterrain",NA
"26","Collège Boréal","Génie de construction — civil et minier ","https://www.collegeboreal.ca//programmes/environnement-et-richesses-naturelles/civq-techniques-du-genie-de-construction-civil-et-minier","FGCHXSOC2","GEN au choix",NA
