"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","FRA1005","Français I",NA
"2","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1035","Logiciels d'applications",NA
"3","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1039","Introduction aux algorithmes",NA
"4","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1040","Introduction à la réseautique",NA
"5","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1074","Systèmes d'exploitation et ordinateurs",NA
"6","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","MAT1018","Mathématiques informatiques",NA
"7","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","ENG1011","Professional Communication in English",NA
"8","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1021","Protocoles et concepts de routage",NA
"9","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1041","Introduction à l'administration des systèmes",NA
"10","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1042","Introduction à la programmation",NA
"11","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1043","Introduction",NA
"12","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","INF1082","Appui et service technique",NA
"13","Collège Boréal","Génie informatique","https://www.collegeboreal.ca//programmes/affaires/ginf-soutien-technique-en-informatique","STG1080","Stage en industrie",NA
