"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1000","Perspectives gérontologiques: La vision canadienne du vieillissement",NA
"2","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1002","Approche interdisciplinaire et modèles de soins en gérontologie",NA
"3","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1003","Droits et questions d'éthique concernant les personnes vieillissantes",NA
"4","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1013","Cheminement psychologique et physiologique chez l'adulte vieillissant",NA
"5","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1001","Optimiser la santé et le bienêtre chez la personne vieillissante",NA
"6","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1006","Gérontologie sociale",NA
"7","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1007","La relation d'aide en gérontologie",NA
"8","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1010","Santé mentale et fonctionnement cognitif",NA
"9","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1004","Leadership, influence et changement",NA
"10","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1011","La dignité de la personne en soins palliatifs",NA
"11","Collège Boréal","Gérontologie interdisciplinaire - postdiplôme","https://www.collegeboreal.ca//programmes/sante/gerd-gerontologie-interdisciplinaire-postdiplome","GER1015","Projet de gérontologie",NA
