"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","BIO1016","Anatomie et physiologie I",NA
"2","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","FRA1005","Français I",NA
"3","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1000","Anatomie dentaire et bucco-faciale",NA
"4","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1001","Instrumentation d'hygiène dentaire I",NA
"5","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1003","Radiologie bucco-dentaire I",NA
"6","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1004","Microbiologie",NA
"7","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1005","Histologie et embryologie",NA
"8","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","BIO1013","Anatomie et physiologie II",NA
"9","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1006","Matériaux dentaires I",NA
"10","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1007","Promotion de la santé bucco-dentaire",NA
"11","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1010","Radiologie bucco-dentaire II",NA
"12","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1011","Fondements professionnels I",NA
"13","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1037","Codification",NA
"14","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1038","Pharmacologie I et urgences",NA
"15","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1039","Instrumentation d'hygiène dentaire II",NA
"16","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1012","Matériaux dentaires II",NA
"17","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1013","Initiation à la clientèle",NA
"18","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1014","Parodontologie I",NA
"19","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1016","Fondements professionnels II",NA
"20","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1017","Santé et nutrition",NA
"21","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1034","Médecine buccale",NA
"22","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","HYD1035","Physiopathologie",NA
"23","Collège Boréal","Hygiène dentaire","https://www.collegeboreal.ca//programmes/sante/hydg-hygiene-dentaire","FGCHXGLOBAL","GEN au choix",NA
