"","Institution","Program","Program_url","Code","Name","Description"
"1","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1015","Électricité I",NA
"2","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1033","Dessins d'installation I",NA
"3","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1036","Électronique I",NA
"4","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","FRA1005","Français I",NA
"5","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","INF1078","Logiciels Microsoft",NA
"6","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","MAT1006","Mathématiques appliquées I",NA
"7","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1039","Instrumentation I",NA
"8","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1061","Installations électriques I",NA
"9","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1062","Sécurité et code électrique I",NA
"10","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1065","Moteurs et commandes I",NA
"11","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ENG1009","English in the workplace",NA
"12","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","INF1074","Systèmes d'exploitation et ordinateurs",NA
"13","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","MAT1007","Mathématiques appliquées II",NA
"14","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1001","Électricité II",NA
"15","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1002","Semi-conducteurs",NA
"16","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1031","Installations électriques II",NA
"17","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1041","Instrumentation II",NA
"18","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1063","Sécurité et code électrique II",NA
"19","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1064","Énergie renouvelable I",NA
"20","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","FGCHXSOC2","GEN au choix",NA
"21","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1009","Automation I",NA
"22","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1034","Dessins d'installation II",NA
"23","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1037","Électronique II",NA
"24","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1047","Électricité III",NA
"25","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1066","Moteurs et commandes II",NA
"26","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1067","Chiffrier électronique en électricité",NA
"27","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","SOC1010","Communication interpersonnelle",NA
"28","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1014","Automation II",NA
"29","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1017","Projet industriel I",NA
"30","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1057","Télécommunication industrielle",NA
"31","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1058","Microcontrôleurs I",NA
"32","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1059","Contrôle de processus",NA
"33","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1068","Design industriel",NA
"34","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","INF1040","Introduction à la réseautique",NA
"35","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1018","Projet industriel II",NA
"36","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1046","Instrumentation III",NA
"37","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1069","Automation III",NA
"38","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","ELN1070","Microcontrôleurs II",NA
"39","Collège Boréal","Instrumentation","https://www.collegeboreal.ca//programmes/metiers/elng-technologie-du-genie-electronique-instrumentation","STG1114","Stage en électronique",NA
